iter	Passed	Remaining
0	29	29159
1	42	20969
2	54	18117
3	72	18167
4	99	19739
5	114	19019
6	127	18104
7	140	17381
8	152	16799
9	165	16396
10	178	16030
11	189	15586
12	201	15301
13	215	15197
14	235	15462
15	250	15417
16	266	15386
17	283	15489
18	301	15545
19	316	15499
20	333	15554
21	349	15551
22	363	15454
23	394	16048
24	423	16532
25	447	16781
26	471	16998
27	498	17305
28	526	17615
29	572	18495
30	596	18652
31	623	18860
32	648	19013
33	675	19179
34	691	19075
35	710	19028
36	736	19162
37	754	19088
38	769	18957
39	782	18783
40	793	18570
41	805	18383
42	819	18234
43	832	18092
44	844	17922
45	864	17925
46	877	17802
47	901	17887
48	917	17798
49	929	17660
50	941	17518
51	956	17441
52	979	17505
53	1000	17520
54	1018	17496
55	1035	17452
56	1065	17626
57	1091	17719
58	1116	17813
59	1146	17962
60	1174	18084
61	1197	18122
62	1218	18128
63	1258	18411
64	1284	18482
65	1311	18561
66	1330	18533
67	1347	18472
68	1367	18457
69	1384	18396
70	1403	18360
71	1419	18298
72	1441	18305
73	1466	18351
74	1484	18306
75	1499	18225
76	1515	18166
77	1538	18180
78	1559	18181
79	1578	18150
80	1598	18139
81	1630	18252
82	1650	18240
83	1674	18255
84	1695	18256
85	1720	18284
86	1749	18357
87	1778	18429
88	1810	18536
89	1841	18614
90	1866	18648
91	1888	18642
92	1906	18596
93	1921	18522
94	1942	18508
95	1966	18514
96	1982	18451
97	1993	18350
98	2009	18291
99	2024	18217
100	2038	18143
101	2056	18104
102	2073	18061
103	2091	18022
104	2117	18049
105	2136	18017
106	2149	17938
107	2160	17842
108	2173	17767
109	2186	17693
110	2199	17613
111	2210	17527
112	2223	17450
113	2237	17388
114	2253	17338
115	2266	17270
116	2281	17220
117	2302	17209
118	2314	17138
119	2327	17069
120	2345	17039
121	2357	16963
122	2373	16923
123	2386	16862
124	2400	16806
125	2413	16738
126	2425	16670
127	2436	16596
128	2461	16620
129	2476	16570
130	2487	16503
131	2500	16440
132	2512	16375
133	2526	16330
134	2539	16274
135	2551	16210
136	2565	16163
137	2578	16108
138	2591	16053
139	2609	16028
140	2640	16084
141	2657	16055
142	2675	16031
143	2692	16006
144	2710	15983
145	2727	15954
146	2745	15929
147	2759	15884
148	2779	15872
149	2797	15849
150	2811	15805
151	2823	15753
152	2838	15712
153	2853	15674
154	2872	15659
155	2886	15615
156	2899	15567
157	2911	15515
158	2925	15474
159	2947	15473
160	2966	15458
161	2976	15396
162	2991	15360
163	3004	15314
164	3018	15273
165	3032	15235
166	3044	15187
167	3057	15142
168	3070	15097
169	3083	15053
170	3093	14995
171	3118	15011
172	3134	14985
173	3145	14932
174	3158	14890
175	3189	14931
176	3203	14894
177	3218	14861
178	3231	14820
179	3244	14779
180	3255	14728
181	3270	14700
182	3285	14667
183	3297	14624
184	3308	14573
185	3319	14527
186	3334	14498
187	3348	14462
188	3361	14425
189	3371	14372
190	3384	14337
191	3399	14304
192	3421	14305
193	3444	14309
194	3460	14287
195	3475	14255
196	3490	14227
197	3504	14193
198	3518	14161
199	3535	14140
200	3551	14116
201	3564	14082
202	3587	14085
203	3626	14148
204	3647	14145
205	3664	14123
206	3680	14100
207	3696	14073
208	3713	14055
209	3729	14031
210	3744	14001
211	3763	13990
212	3804	14058
213	3835	14086
214	3856	14080
215	3894	14136
216	3914	14124
217	3929	14093
218	3943	14064
219	3969	14072
220	3995	14082
221	4036	14146
222	4054	14126
223	4070	14101
224	4087	14077
225	4103	14053
226	4119	14028
227	4135	14002
228	4148	13967
229	4164	13942
230	4190	13949
231	4209	13934
232	4222	13900
233	4237	13873
234	4251	13841
235	4268	13818
236	4283	13789
237	4296	13755
238	4312	13730
239	4324	13695
240	4335	13653
241	4356	13645
242	4371	13617
243	4382	13578
244	4400	13562
245	4414	13530
246	4426	13495
247	4441	13466
248	4452	13428
249	4463	13391
250	4476	13358
251	4499	13356
252	4522	13352
253	4545	13351
254	4574	13364
255	4592	13348
256	4607	13320
257	4622	13294
258	4648	13298
259	4662	13271
260	4679	13250
261	4694	13223
262	4713	13207
263	4734	13199
264	4746	13165
265	4759	13132
266	4771	13099
267	4785	13072
268	4798	13038
269	4811	13007
270	4825	12981
271	4841	12957
272	4855	12930
273	4876	12920
274	4894	12904
275	4908	12876
276	4921	12846
277	4934	12815
278	4949	12790
279	4966	12771
280	4980	12742
281	4993	12713
282	5006	12683
283	5024	12667
284	5045	12658
285	5056	12622
286	5067	12588
287	5079	12557
288	5089	12522
289	5101	12491
290	5115	12462
291	5128	12433
292	5140	12403
293	5153	12376
294	5167	12348
295	5188	12339
296	5208	12328
297	5220	12297
298	5232	12268
299	5247	12243
300	5259	12213
301	5270	12182
302	5285	12159
303	5299	12132
304	5311	12102
305	5322	12070
306	5344	12064
307	5355	12031
308	5366	12000
309	5377	11968
310	5386	11934
311	5398	11904
312	5409	11873
313	5420	11841
314	5433	11815
315	5448	11792
316	5460	11764
317	5473	11738
318	5482	11705
319	5508	11706
320	5530	11697
321	5544	11675
322	5557	11647
323	5567	11615
324	5579	11589
325	5593	11563
326	5607	11540
327	5620	11514
328	5633	11489
329	5645	11462
330	5658	11437
331	5674	11418
332	5698	11414
333	5714	11394
334	5729	11373
335	5746	11355
336	5761	11334
337	5777	11315
338	5792	11294
339	5806	11272
340	5820	11247
341	5841	11238
342	5860	11224
343	5873	11199
344	5885	11174
345	5896	11144
346	5911	11124
347	5924	11099
348	5943	11086
349	5957	11063
350	5970	11038
351	5982	11013
352	5997	10992
353	6018	10983
354	6038	10971
355	6052	10949
356	6069	10931
357	6082	10907
358	6094	10882
359	6110	10862
360	6122	10838
361	6136	10815
362	6149	10790
363	6161	10766
364	6178	10749
365	6196	10734
366	6208	10708
367	6223	10687
368	6236	10664
369	6252	10646
370	6271	10632
371	6289	10617
372	6305	10599
373	6319	10578
374	6337	10561
375	6353	10544
376	6367	10522
377	6381	10500
378	6392	10474
379	6403	10448
380	6415	10423
381	6431	10404
382	6443	10380
383	6455	10355
384	6467	10330
385	6480	10308
386	6493	10286
387	6512	10271
388	6529	10256
389	6541	10231
390	6552	10205
391	6564	10182
392	6579	10161
393	6593	10141
394	6606	10119
395	6619	10096
396	6631	10072
397	6644	10049
398	6659	10030
399	6681	10022
400	6693	9998
401	6705	9974
402	6716	9949
403	6728	9925
404	6739	9901
405	6750	9875
406	6762	9852
407	6776	9832
408	6788	9809
409	6801	9787
410	6811	9760
411	6831	9749
412	6846	9731
413	6858	9708
414	6871	9686
415	6884	9665
416	6895	9640
417	6912	9623
418	6926	9604
419	6939	9582
420	6953	9563
421	6967	9543
422	6987	9531
423	7002	9512
424	7015	9492
425	7028	9470
426	7041	9448
427	7055	9429
428	7070	9410
429	7083	9389
430	7098	9371
431	7111	9350
432	7123	9328
433	7147	9320
434	7162	9303
435	7175	9281
436	7189	9262
437	7204	9243
438	7219	9226
439	7237	9211
440	7251	9192
441	7266	9173
442	7279	9152
443	7299	9140
444	7319	9128
445	7330	9105
446	7342	9083
447	7352	9059
448	7365	9038
449	7376	9015
450	7387	8992
451	7398	8970
452	7410	8948
453	7421	8924
454	7432	8902
455	7444	8881
456	7454	8856
457	7474	8845
458	7487	8825
459	7499	8803
460	7513	8784
461	7527	8765
462	7541	8746
463	7554	8726
464	7569	8709
465	7583	8689
466	7595	8668
467	7608	8649
468	7627	8635
469	7644	8620
470	7658	8601
471	7669	8579
472	7681	8558
473	7694	8539
474	7708	8519
475	7721	8499
476	7732	8478
477	7745	8457
478	7759	8439
479	7773	8421
480	7792	8408
481	7809	8392
482	7828	8379
483	7846	8365
484	7865	8352
485	7935	8392
486	7974	8399
487	8004	8398
488	8014	8375
489	8030	8358
490	8043	8337
491	8063	8325
492	8083	8312
493	8097	8294
494	8110	8274
495	8122	8253
496	8135	8233
497	8147	8212
498	8159	8192
499	8172	8172
500	8188	8156
501	8205	8139
502	8236	8138
503	8253	8122
504	8267	8103
505	8286	8089
506	8304	8075
507	8317	8055
508	8332	8037
509	8345	8018
510	8357	7997
511	8369	7977
512	8391	7966
513	8407	7949
514	8419	7928
515	8428	7906
516	8442	7887
517	8454	7866
518	8464	7845
519	8476	7824
520	8492	7807
521	8504	7787
522	8516	7767
523	8527	7746
524	8543	7729
525	8568	7721
526	8585	7705
527	8600	7688
528	8613	7669
529	8629	7652
530	8643	7634
531	8657	7615
532	8673	7599
533	8689	7583
534	8703	7565
535	8720	7548
536	8740	7535
537	8759	7521
538	8772	7502
539	8787	7485
540	8799	7465
541	8809	7444
542	8819	7422
543	8829	7401
544	8839	7379
545	8849	7358
546	8859	7336
547	8869	7315
548	8880	7295
549	8889	7273
550	8902	7254
551	8918	7237
552	8927	7216
553	8938	7196
554	8951	7177
555	8962	7157
556	8972	7136
557	8984	7116
558	8995	7096
559	9005	7075
560	9016	7055
561	9027	7035
562	9036	7014
563	9048	6995
564	9059	6975
565	9074	6958
566	9087	6940
567	9099	6920
568	9110	6901
569	9121	6880
570	9132	6861
571	9144	6842
572	9154	6821
573	9165	6802
574	9176	6782
575	9186	6761
576	9196	6742
577	9207	6722
578	9218	6702
579	9232	6685
580	9242	6665
581	9252	6645
582	9262	6625
583	9272	6604
584	9280	6583
585	9290	6563
586	9299	6542
587	9309	6523
588	9319	6502
589	9328	6482
590	9337	6462
591	9346	6441
592	9356	6421
593	9364	6400
594	9375	6381
595	9390	6365
596	9399	6344
597	9408	6324
598	9417	6304
599	9426	6284
600	9436	6264
601	9445	6244
602	9455	6225
603	9463	6204
604	9473	6185
605	9482	6165
606	9491	6145
607	9500	6125
608	9509	6105
609	9518	6085
610	9527	6065
611	9540	6048
612	9553	6031
613	9563	6012
614	9573	5993
615	9582	5973
616	9591	5954
617	9601	5935
618	9612	5916
619	9625	5899
620	9637	5882
621	9647	5862
622	9657	5843
623	9667	5825
624	9676	5805
625	9686	5787
626	9697	5769
627	9710	5751
628	9721	5733
629	9731	5715
630	9745	5699
631	9754	5680
632	9764	5661
633	9773	5642
634	9784	5623
635	9793	5604
636	9803	5586
637	9813	5568
638	9822	5549
639	9833	5531
640	9841	5512
641	9851	5493
642	9863	5476
643	9877	5460
644	9889	5442
645	9899	5424
646	9907	5405
647	9918	5387
648	9929	5369
649	9938	5351
650	9949	5333
651	9958	5315
652	9966	5296
653	9975	5277
654	9984	5259
655	9993	5240
656	10002	5221
657	10011	5203
658	10019	5184
659	10032	5168
660	10046	5152
661	10055	5134
662	10066	5116
663	10079	5100
664	10092	5083
665	10103	5066
666	10115	5050
667	10128	5034
668	10138	5016
669	10148	4998
670	10159	4981
671	10168	4963
672	10178	4945
673	10187	4927
674	10196	4909
675	10206	4892
676	10216	4874
677	10226	4856
678	10239	4840
679	10252	4824
680	10263	4807
681	10273	4790
682	10282	4772
683	10291	4754
684	10301	4737
685	10312	4720
686	10322	4702
687	10331	4685
688	10342	4668
689	10352	4651
690	10361	4633
691	10371	4616
692	10380	4598
693	10391	4581
694	10400	4564
695	10410	4546
696	10419	4529
697	10427	4511
698	10437	4494
699	10445	4476
700	10456	4460
701	10471	4445
702	10480	4427
703	10490	4410
704	10503	4395
705	10512	4377
706	10525	4362
707	10535	4345
708	10544	4327
709	10555	4311
710	10563	4293
711	10573	4277
712	10582	4259
713	10591	4242
714	10601	4225
715	10609	4208
716	10619	4191
717	10628	4174
718	10637	4157
719	10646	4140
720	10660	4125
721	10675	4110
722	10685	4093
723	10694	4076
724	10703	4059
725	10713	4043
726	10721	4026
727	10731	4009
728	10739	3992
729	10749	3975
730	10758	3958
731	10768	3942
732	10776	3925
733	10786	3909
734	10796	3892
735	10805	3875
736	10819	3860
737	10837	3847
738	10851	3832
739	10864	3817
740	10874	3801
741	10885	3785
742	10901	3770
743	10912	3754
744	10923	3738
745	10934	3722
746	10945	3706
747	10953	3690
748	10964	3674
749	10974	3658
750	10982	3641
751	10992	3625
752	11001	3608
753	11011	3592
754	11024	3577
755	11037	3562
756	11047	3546
757	11059	3530
758	11068	3514
759	11078	3498
760	11087	3482
761	11097	3466
762	11107	3450
763	11116	3433
764	11127	3418
765	11135	3401
766	11147	3386
767	11157	3370
768	11167	3354
769	11177	3338
770	11186	3322
771	11195	3306
772	11204	3290
773	11213	3274
774	11222	3258
775	11231	3241
776	11242	3226
777	11255	3211
778	11264	3195
779	11273	3179
780	11281	3163
781	11290	3147
782	11298	3131
783	11307	3115
784	11316	3099
785	11325	3083
786	11335	3067
787	11343	3051
788	11352	3036
789	11361	3020
790	11370	3004
791	11378	2988
792	11388	2972
793	11398	2957
794	11412	2942
795	11426	2928
796	11436	2912
797	11445	2897
798	11455	2881
799	11464	2866
800	11475	2850
801	11485	2835
802	11493	2819
803	11503	2804
804	11512	2788
805	11522	2773
806	11531	2757
807	11540	2742
808	11549	2726
809	11557	2711
810	11566	2695
811	11575	2680
812	11589	2665
813	11600	2650
814	11610	2635
815	11619	2620
816	11628	2604
817	11637	2589
818	11646	2573
819	11654	2558
820	11663	2542
821	11671	2527
822	11679	2511
823	11688	2496
824	11697	2481
825	11706	2465
826	11715	2450
827	11724	2435
828	11733	2420
829	11742	2405
830	11751	2389
831	11760	2374
832	11771	2359
833	11783	2345
834	11793	2330
835	11802	2315
836	11812	2300
837	11820	2285
838	11829	2269
839	11838	2254
840	11848	2240
841	11857	2224
842	11865	2209
843	11874	2194
844	11883	2179
845	11893	2164
846	11901	2149
847	11911	2135
848	11921	2120
849	11936	2106
850	11948	2091
851	11957	2077
852	11967	2062
853	11976	2047
854	11985	2032
855	11995	2017
856	12004	2003
857	12014	1988
858	12023	1973
859	12032	1958
860	12043	1944
861	12051	1929
862	12061	1914
863	12070	1899
864	12078	1885
865	12091	1871
866	12104	1856
867	12114	1842
868	12124	1827
869	12133	1813
870	12143	1798
871	12154	1784
872	12164	1769
873	12174	1755
874	12183	1740
875	12193	1725
876	12203	1711
877	12212	1696
878	12222	1682
879	12234	1668
880	12249	1654
881	12261	1640
882	12271	1625
883	12280	1611
884	12291	1597
885	12301	1582
886	12310	1568
887	12320	1553
888	12330	1539
889	12342	1525
890	12354	1511
891	12363	1496
892	12374	1482
893	12384	1468
894	12394	1454
895	12407	1440
896	12424	1426
897	12435	1412
898	12444	1398
899	12455	1383
900	12465	1369
901	12475	1355
902	12486	1341
903	12495	1327
904	12506	1312
905	12516	1298
906	12525	1284
907	12537	1270
908	12548	1256
909	12557	1241
910	12569	1227
911	12584	1214
912	12594	1200
913	12603	1185
914	12613	1171
915	12623	1157
916	12634	1143
917	12643	1129
918	12653	1115
919	12662	1101
920	12670	1086
921	12678	1072
922	12687	1058
923	12697	1044
924	12705	1030
925	12714	1016
926	12723	1001
927	12735	988
928	12751	974
929	12762	960
930	12771	946
931	12780	932
932	12789	918
933	12800	904
934	12810	890
935	12819	876
936	12829	862
937	12838	848
938	12848	834
939	12858	820
940	12868	806
941	12878	792
942	12889	779
943	12903	765
944	12919	751
945	12929	738
946	12938	724
947	12948	710
948	12958	696
949	12967	682
950	12977	668
951	12986	654
952	12996	640
953	13006	627
954	13015	613
955	13025	599
956	13033	585
957	13044	571
958	13054	558
959	13066	544
960	13082	530
961	13092	517
962	13101	503
963	13111	489
964	13121	475
965	13130	462
966	13141	448
967	13150	434
968	13161	421
969	13171	407
970	13180	393
971	13191	380
972	13200	366
973	13210	352
974	13221	339
975	13234	325
976	13244	311
977	13253	298
978	13261	284
979	13271	270
980	13281	257
981	13290	243
982	13299	230
983	13308	216
984	13317	202
985	13326	189
986	13335	175
987	13344	162
988	13353	148
989	13363	134
990	13373	121
991	13387	107
992	13398	94
993	13407	80
994	13417	67
995	13426	53
996	13435	40
997	13444	26
998	13453	13
999	13462	0
